Erwerber,Jahr,Bezirk,"Median-Preis (gesamt, €)","Median-Preis (relativ, €)",Anzahl Transaktionen,Gesamt-Volumen (€),bez_num
Privatpersonen,2015,13. Hietzing ,450000,834.88,55,27623590,13
Privatpersonen,2015,14. Penzing ,321000,630.66,95,39994276.1,14
Privatpersonen,2015,15. Rudolfsheim-Fünfhaus ,1435000,2470.02,11,14357350,15
Privatpersonen,2015,16. Ottakring ,671331,1704.48,10,6257662,16
Privatpersonen,2015,17. Hernals ,381000,915.24,33,16123214,17
Privatpersonen,2015,18. Währing ,1125000,1908.7,24,35909327,18
Privatpersonen,2015,19. Döbling ,920100,1448.53,57,91348386,19
Privatpersonen,2015,2. Leopoldstadt ,130000,395.65,16,3048028.7,2
Privatpersonen,2015,20. Brigittenau ,2625000,4269.08,3,7635000,20
Privatpersonen,2015,21. Floridsdorf ,200000,434.66,95,23790780.5,21
Privatpersonen,2015,22. Donaustadt ,270000,500,215,63842162.5,22
Privatpersonen,2015,23. Liesing ,310000,612.69,107,44496161.6,23
Privatpersonen,2015,3. Landstraße ,4456100,2754.08,1,4456100,3
Privatpersonen,2015,4. Wieden ,1642500,1381.01,2,3285000,4
Privatpersonen,2015,5. Margareten ,1750000,3809.52,5,11740000,5
Privatpersonen,2015,7. Neubau ,1275000,4319.81,2,2550000,7
Privatpersonen,2015,8. Josefstadt ,3680000,9340.1,1,3680000,8
Privatpersonen,2015,9. Alsergrund ,2575000,5078.9,1,2575000,9
Privatpersonen,2016,10. Favoriten ,275000,493.19,14,6298187,10
Privatpersonen,2016,11. Simmering ,250000,400,19,6451493,11
Privatpersonen,2016,12. Meidling ,660000,1196.93,13,8799606.5,12
Privatpersonen,2016,13. Hietzing ,488000,863.16,51,39902045,13
Privatpersonen,2016,14. Penzing ,323500,693.51,84,34278300,14
Privatpersonen,2016,15. Rudolfsheim-Fünfhaus ,227500,403.26,2,455000,15
Privatpersonen,2016,16. Ottakring ,355000,666.67,7,2638990,16
Privatpersonen,2016,17. Hernals ,510000,1053.7,20,20202830,17
Privatpersonen,2016,18. Währing ,1090000,1773.65,13,18218160,18
Privatpersonen,2016,19. Döbling ,1500000,1857.84,31,80817050,19
Privatpersonen,2016,2. Leopoldstadt ,77915,230,20,10070720,2
Privatpersonen,2016,20. Brigittenau ,332000,579.41,1,332000,20
Privatpersonen,2016,21. Floridsdorf ,220000,456.27,109,32081911.3,21
Privatpersonen,2016,22. Donaustadt ,310000,583.5,153,60904176.58,22
Privatpersonen,2016,23. Liesing ,360000,641.92,75,40773477,23
Privatpersonen,2016,3. Landstraße ,3150000,8056.27,1,3150000,3
Privatpersonen,2016,5. Margareten ,850000,4829.55,1,850000,5
Privatpersonen,2016,7. Neubau ,1270000,8758.62,1,1270000,7
Privatpersonen,2017,10. Favoriten ,250000,370,11,4008636,10
Privatpersonen,2017,11. Simmering ,170000,350,15,2676605,11
Privatpersonen,2017,12. Meidling ,585000,1268.88,17,13071000,12
Privatpersonen,2017,13. Hietzing ,530000,1018.52,53,37041140,13
Privatpersonen,2017,14. Penzing ,310000,611.35,65,30507100,14
Privatpersonen,2017,15. Rudolfsheim-Fünfhaus ,1275000,2946.19,8,10077800,15
Privatpersonen,2017,16. Ottakring ,340000,1048.96,6,3423400,16
Privatpersonen,2017,17. Hernals ,350000,877.78,13,5818960,17
Privatpersonen,2017,18. Währing ,34800,1200,5,2300460,18
Privatpersonen,2017,19. Döbling ,480000,1240.95,18,22642441,19
Privatpersonen,2017,2. Leopoldstadt ,58040,200,26,10105340,2
Privatpersonen,2017,20. Brigittenau ,2600000,4173.35,1,2600000,20
Privatpersonen,2017,21. Floridsdorf ,300000,575,120,40384747,21
Privatpersonen,2017,22. Donaustadt ,345000,655.74,168,68044783.06,22
Privatpersonen,2017,23. Liesing ,430000,723.64,100,53037736,23
Privatpersonen,2017,3. Landstraße ,1875500,4841.47,2,3751000,3
Privatpersonen,2017,5. Margareten ,1865000,3956.22,2,3730000,5
Privatpersonen,2017,9. Alsergrund ,2450000,6675.75,1,2450000,9
Privatpersonen,2018,10. Favoriten ,465000,771.76,12,5365020,10
Privatpersonen,2018,11. Simmering ,228750,607.51,26,7128317,11
Privatpersonen,2018,12. Meidling ,600000,1094.39,9,9985000,12
Privatpersonen,2018,13. Hietzing ,685000,1149.24,36,34939900,13
Privatpersonen,2018,14. Penzing ,340000,700.64,79,34919912.4,14
Privatpersonen,2018,15. Rudolfsheim-Fünfhaus ,1850000,3067.99,1,1850000,15
Privatpersonen,2018,16. Ottakring ,235000,900,15,7320800,16
Privatpersonen,2018,17. Hernals ,430000,985.71,35,25625643.5,17
Privatpersonen,2018,18. Währing ,273000,1391.47,7,5194340,18
Privatpersonen,2018,19. Döbling ,1975000,1473.48,29,79109900,19
Privatpersonen,2018,2. Leopoldstadt ,93502.5,330,38,9912900,2
Privatpersonen,2018,20. Brigittenau ,450000,341.43,1,450000,20
Privatpersonen,2018,21. Floridsdorf ,250000,557.5,103,33344411.95,21
Privatpersonen,2018,22. Donaustadt ,350000,685.95,174,68227034.4,22
Privatpersonen,2018,23. Liesing ,490000,797.81,102,62051282,23
Privatpersonen,2018,3. Landstraße ,83160,280,3,248920,3
Privatpersonen,2019,10. Favoriten ,530750,1001.96,18,12774209,10
Privatpersonen,2019,11. Simmering ,267500,601.84,24,6806216,11
Privatpersonen,2019,12. Meidling ,399000,820.11,15,10105300,12
Privatpersonen,2019,13. Hietzing ,577500,1120.69,39,31184000,13
Privatpersonen,2019,14. Penzing ,300000,744.5,94,40843005,14
Privatpersonen,2019,15. Rudolfsheim-Fünfhaus ,1485000,3847.98,3,4105000,15
Privatpersonen,2019,16. Ottakring ,415000,1041.38,9,7788770,16
Privatpersonen,2019,17. Hernals ,635000,1000,18,12198542,17
Privatpersonen,2019,18. Währing ,670000,1207.21,5,14771000,18
Privatpersonen,2019,19. Döbling ,203880,720,24,24646740,19
Privatpersonen,2019,2. Leopoldstadt ,192500,841.08,18,6244632,2
Privatpersonen,2019,21. Floridsdorf ,353000,738.19,120,48121411.71,21
Privatpersonen,2019,22. Donaustadt ,420000,835.95,159,69649002,22
Privatpersonen,2019,23. Liesing ,500000,899.22,95,52783775.4,23
Privatpersonen,2019,3. Landstraße ,47400,181.42,2,94800,3
Privatpersonen,2019,9. Alsergrund ,6400000,11780.01,2,12800000,9
