katastral_gemeinde,kg_nr,abk_karte,bezirk,bezirks_gericht,flache_in_ha_im_bezirk,auch_bezirk_e_mit_flache_in_ha
Kaisermühlen,1669,Km,"22. Donaustadt 22., Donaustadt",Donaustadt,"537,95","21. (20,45)"
Landjägermeisteramt,1662,L,"22. Donaustadt 22., Donaustadt",Donaustadt,"204,51","2. (31,00)"
Stadlau,1665,St,"22. Donaustadt 22., Donaustadt",Donaustadt,"499,44",–
Süßenbrunn,1668,Sü,"22. Donaustadt 22., Donaustadt",Donaustadt,"501,27",–
Atzgersdorf,1801,A,"23. Liesing 23., Liesing",Liesing,"376,42",–
Erlaa,1802,E,"23. Liesing 23., Liesing",Liesing,"238,96",–
Inzersdorf,1803,I,"23. Liesing 23., Liesing",Liesing,"854,06",–
Kalksburg,1804,K,"23. Liesing 23., Liesing",Liesing,"375,70",–
Liesing,1805,L,"23. Liesing 23., Liesing",Liesing,"273,82",–
Mauer,1806,M,"23. Liesing 23., Liesing",Liesing,"639,57",–
Rodaun,1807,R,"23. Liesing 23., Liesing",Liesing,"214,45",–
Siebenhirten,1808,S,"23. Liesing 23., Liesing",Liesing,"251,22",–
